"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pocillopora_acuta_HIv2___RNAseq.g23616.t1",13.2257023738569,-0.212316259428994,0.745337515436937,-0.2848592148277,0.775752003784947,NA
"Pocillopora_acuta_HIv2___RNAseq.g4197.t1",11.129363672464,0.0907041575619359,0.689892024277978,0.131475875020971,0.895398869841713,NA
"Pocillopora_acuta_HIv2___RNAseq.g12137.t1",71.4526009590811,0.259879774584365,0.4747278508779,0.547428961885799,0.584084062481397,0.847335707223547
"Pocillopora_acuta_HIv2___RNAseq.g4784.t1",33.9064215564371,0.293092033150209,1.06574818865962,0.275010585304235,0.783308105864473,0.9309588073943
"Pocillopora_acuta_HIv2___RNAseq.g23764.t1",20.2460896032623,0.315909483298249,0.612714061185474,0.515590392502223,0.606140521887341,0.860893488420104
"Pocillopora_acuta_HIv2___RNAseq.g27841.t1",1303.99110599407,0.148487725567665,0.307074483731467,0.483556053773311,0.628700969577155,0.86896649877177
"Pocillopora_acuta_HIv2___RNAseq.g14011.t1",464.833476069885,0.137668873352082,0.280726796957834,0.490401610547923,0.623849737243344,0.867413821146403
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3a",678.516377683726,0.576826522679189,0.360212126011002,1.60135231722202,0.109298907502883,0.432391741472326
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",1133.84963481084,0.177926354237495,0.593275851391487,0.299904932621446,0.764249671735724,0.923505527916937
"Pocillopora_acuta_HIv2___RNAseq.g3340.t1",271.146840052915,-0.0153638577508979,0.38717697584839,-0.0396817442907919,0.968346856158019,0.990096995725607
"Pocillopora_acuta_HIv2___RNAseq.g682.t1",125.65302314658,0.996853309952819,1.40112952138908,0.711464068621249,0.476796709148586,0.788894299296198
"Pocillopora_acuta_HIv2___RNAseq.g25357.t1",45.647361791477,-0.40685720045384,0.569766877594083,-0.714076610019609,0.475179808409981,0.787807523274555
"Pocillopora_acuta_HIv2___TS.g11024.t1",104.693147574553,-0.0842377147327248,0.439789772643378,-0.191540867870596,0.848101865274236,0.953079450130848
"Pocillopora_acuta_HIv2___TS.g13281.t1",95.6134038007271,-0.0783866811630113,0.450276147251237,-0.174085795220404,0.86179803651509,0.957677255819833
"Pocillopora_acuta_HIv2___RNAseq.g4805.t1",12.7012733030634,1.14590119934191,1.04061112169019,1.10118100360171,0.270817887695075,NA
"Pocillopora_acuta_HIv2___RNAseq.g28983.t1",253.299698553046,-0.718280794213703,0.459958360211216,-1.56162134738428,0.118377217454854,0.448179435945571
"Pocillopora_acuta_HIv2___RNAseq.g11539.t1",252.488784569056,-0.0228313438017242,0.236232975178709,-0.0966475733730754,0.923006275214396,0.978191871040964
"Pocillopora_acuta_HIv2___TS.g30900.t1",276.055437002395,0.665614460351556,0.328535267661722,2.02600611218674,0.0427641582970123,0.285305705789477
"Pocillopora_acuta_HIv2___RNAseq.g793.t1",10001.8280566856,-0.48736629813203,0.205219312042644,-2.37485592014244,0.0175558014677753,0.183555657568628
"Pocillopora_acuta_HIv2___RNAseq.g9819.t1",7.19268595539844,0.475079573814283,2.02121800827501,0.235046181000403,0.814172889830129,NA
"Pocillopora_acuta_HIv2___RNAseq.g11061.t1",46.1698254511755,0.0825134647492021,1.27398664133327,0.0647679199075815,0.948358784005621,0.985575882054135
"Pocillopora_acuta_HIv2___RNAseq.g16900.t1",1600.14432282428,1.40874505913763,0.522583694773059,2.69573098668799,0.0070234363015678,0.111912537585468
"Pocillopora_acuta_HIv2___RNAseq.g30807.t1",354.56185641816,0.676122396425059,0.335700363230621,2.01406513212669,0.0440026957106466,0.288913354456647
"Pocillopora_acuta_HIv2___RNAseq.g26238.t1",197.765036571405,-0.328464990847457,0.306767931442692,-1.0707279255127,0.284291782571632,0.646011346040891
"Pocillopora_acuta_HIv2___RNAseq.g791.t1",5.44432930589034,1.44627255155767,0.912306436706415,1.58529249972078,0.112899892357376,NA
"Pocillopora_acuta_HIv2___RNAseq.g18201.t1",14.711174480922,1.13516301758553,0.743069471346558,1.52766741382665,0.126595134656844,0.460531219838406
